output[1] 쟁반 line=54166
state: 그릇=0, 냄비=15, 단지=60, 숟가락=464, 웍=0, 쟁반=643017, 접시=0, 칼=0, 컵=0, 후라이팬=12
progress:
현재 1000행 실행 중 (src 43153): 그릇=1, 냄비=142, 단지=0, 숟가락=48, 웍=0, 쟁반=0, 접시=1478624, 칼=120, 컵=4, 후라이팬=0
현재 2000행 실행 중 (src 44712): 그릇=0, 냄비=87, 단지=321, 숟가락=378, 웍=4167, 쟁반=19, 접시=5, 칼=6, 컵=0, 후라이팬=30
현재 3000행 실행 중 (src 46244): 그릇=5, 냄비=0, 단지=0, 숟가락=0, 웍=4, 쟁반=50, 접시=1, 칼=12555, 컵=357, 후라이팬=5
현재 4000행 실행 중 (src 1461): 그릇=0, 냄비=0, 단지=0, 숟가락=3346, 웍=3957, 쟁반=0, 접시=12, 칼=0, 컵=6, 후라이팬=0
현재 5000행 실행 중 (src 2992): 그릇=0, 냄비=22, 단지=5, 숟가락=174, 웍=328, 쟁반=6, 접시=16, 칼=1, 컵=5449636, 후라이팬=8
현재 6000행 실행 중 (src 4536): 그릇=0, 냄비=5977, 단지=21, 숟가락=0, 웍=404, 쟁반=1308, 접시=0, 칼=4, 컵=9, 후라이팬=0
현재 7000행 실행 중 (src 33860): 그릇=0, 냄비=25109, 단지=102, 숟가락=0, 웍=0, 쟁반=121, 접시=6, 칼=0, 컵=0, 후라이팬=570013
현재 8000행 실행 중 (src 35381): 그릇=8, 냄비=81, 단지=0, 숟가락=10, 웍=16, 쟁반=0, 접시=9, 칼=6, 컵=1356, 후라이팬=20
현재 9000행 실행 중 (src 36911): 그릇=16, 냄비=38, 단지=0, 숟가락=250904, 웍=15, 쟁반=10, 접시=0, 칼=0, 컵=45, 후라이팬=0
현재 10000행 실행 중 (src 33828): 그릇=19, 냄비=25098, 단지=0, 숟가락=0, 웍=15, 쟁반=102, 접시=1142555, 칼=0, 컵=0, 후라이팬=0
현재 11000행 실행 중 (src 35337): 그릇=0, 냄비=0, 단지=67, 숟가락=10, 웍=0, 쟁반=0, 접시=1491, 칼=0, 컵=0, 후라이팬=20
현재 12000행 실행 중 (src 36872): 그릇=1, 냄비=627260, 단지=0, 숟가락=0, 웍=0, 쟁반=0, 접시=0, 칼=29, 컵=446, 후라이팬=2
현재 13000행 실행 중 (src 33791): 그릇=0, 냄비=25098, 단지=4, 숟가락=9, 웍=0, 쟁반=1142544, 접시=0, 칼=102, 컵=15, 후라이팬=2
현재 14000행 실행 중 (src 35293): 그릇=37, 냄비=14, 단지=18, 숟가락=0, 웍=4, 쟁반=82, 접시=0, 칼=1463, 컵=0, 후라이팬=0
현재 15000행 실행 중 (src 36834): 그릇=0, 냄비=156805, 단지=0, 숟가락=0, 웍=0, 쟁반=12, 접시=5, 칼=199, 컵=223, 후라이팬=0
현재 16000행 실행 중 (src 38308): 그릇=72, 냄비=0, 단지=0, 숟가락=296, 웍=4, 쟁반=0, 접시=378, 칼=0, 컵=0, 후라이팬=1
현재 17000행 실행 중 (src 39817): 그릇=0, 냄비=0, 단지=20, 숟가락=0, 웍=90768, 쟁반=1, 접시=42948, 칼=322, 컵=0, 후라이팬=16
현재 18000행 실행 중 (src 41314): 그릇=0, 냄비=0, 단지=155088, 숟가락=0, 웍=15083, 쟁반=3, 접시=40, 칼=0, 컵=5, 후라이팬=18
현재 19000행 실행 중 (src 38310): 그릇=7, 냄비=0, 단지=0, 숟가락=312, 웍=4, 쟁반=0, 접시=378, 칼=0, 컵=0, 후라이팬=1
현재 20000행 실행 중 (src 39816): 그릇=0, 냄비=0, 단지=20, 숟가락=0, 웍=90768, 쟁반=1, 접시=42948, 칼=322, 컵=0, 후라이팬=16
현재 21000행 실행 중 (src 41315): 그릇=0, 냄비=0, 단지=155128, 숟가락=0, 웍=15083, 쟁반=3, 접시=0, 칼=0, 컵=5, 후라이팬=18
현재 22000행 실행 중 (src 5911): 그릇=0, 냄비=0, 단지=96, 숟가락=0, 웍=27, 쟁반=0, 접시=10, 칼=0, 컵=324187625, 후라이팬=7
현재 23000행 실행 중 (src 7421): 그릇=10, 냄비=0, 단지=3153, 숟가락=0, 웍=0, 쟁반=0, 접시=32, 칼=14, 컵=1900464, 후라이팬=25
현재 24000행 실행 중 (src 8995): 그릇=18407, 냄비=2, 단지=0, 숟가락=0, 웍=0, 쟁반=0, 접시=2, 칼=68, 컵=37, 후라이팬=61
현재 25000행 실행 중 (src 5863): 그릇=30, 냄비=20, 단지=2, 숟가락=139, 웍=0, 쟁반=109688792, 접시=6, 칼=3, 컵=288, 후라이팬=0
현재 26000행 실행 중 (src 7371): 그릇=29555, 냄비=32, 단지=525, 숟가락=0, 웍=0, 쟁반=0, 접시=0, 칼=152, 컵=0, 후라이팬=10
현재 27000행 실행 중 (src 8939): 그릇=13304, 냄비=33, 단지=75, 숟가락=37, 웍=0, 쟁반=13, 접시=0, 칼=199, 컵=14, 후라이팬=12
현재 28000행 실행 중 (src 15120): 그릇=2, 냄비=0, 단지=1, 숟가락=0, 웍=5168, 쟁반=0, 접시=7, 칼=8411591, 컵=0, 후라이팬=0
현재 29000행 실행 중 (src 16662): 그릇=13, 냄비=12, 단지=10, 숟가락=1233, 웍=120, 쟁반=0, 접시=0, 칼=26564, 컵=0, 후라이팬=0
현재 30000행 실행 중 (src 18167): 그릇=10, 냄비=0, 단지=13, 숟가락=5, 웍=2, 쟁반=21, 접시=25, 칼=2375562, 컵=41, 후라이팬=0
현재 31000행 실행 중 (src 38130): 그릇=8, 냄비=23, 단지=0, 숟가락=8, 웍=1068, 쟁반=44, 접시=10, 칼=0, 컵=0, 후라이팬=2
현재 32000행 실행 중 (src 39633): 그릇=2, 냄비=12, 단지=1060, 숟가락=0, 웍=2248, 쟁반=14, 접시=4086, 칼=9, 컵=0, 후라이팬=0
현재 33000행 실행 중 (src 41138): 그릇=8, 냄비=35352, 단지=0, 숟가락=10, 웍=1030893, 쟁반=0, 접시=0, 칼=10, 컵=157, 후라이팬=13
현재 34000행 실행 중 (src 38131): 그릇=8, 냄비=23, 단지=0, 숟가락=8, 웍=39, 쟁반=132, 접시=10, 칼=0, 컵=0, 후라이팬=2
현재 35000행 실행 중 (src 39634): 그릇=2, 냄비=12, 단지=1060, 숟가락=0, 웍=2247, 쟁반=14, 접시=4086, 칼=9, 컵=0, 후라이팬=14
현재 36000행 실행 중 (src 41139): 그릇=9, 냄비=35352, 단지=0, 숟가락=10, 웍=1030893, 쟁반=0, 접시=0, 칼=10, 컵=157, 후라이팬=13
현재 37000행 실행 중 (src 38132): 그릇=8, 냄비=23, 단지=4, 숟가락=8, 웍=39, 쟁반=132, 접시=10, 칼=0, 컵=0, 후라이팬=2
현재 38000행 실행 중 (src 39635): 그릇=2, 냄비=12, 단지=1060, 숟가락=0, 웍=2247, 쟁반=14, 접시=4086, 칼=9, 컵=0, 후라이팬=14
현재 39000행 실행 중 (src 41140): 그릇=9, 냄비=35352, 단지=0, 숟가락=10, 웍=1030893, 쟁반=0, 접시=0, 칼=16, 컵=157, 후라이팬=13
현재 40000행 실행 중 (src 38133): 그릇=8, 냄비=23, 단지=4, 숟가락=0, 웍=39, 쟁반=140, 접시=10, 칼=0, 컵=0, 후라이팬=2
현재 41000행 실행 중 (src 39638): 그릇=2, 냄비=12, 단지=1060, 숟가락=0, 웍=2247, 쟁반=14, 접시=4086, 칼=9, 컵=0, 후라이팬=14
현재 42000행 실행 중 (src 41142): 그릇=9, 냄비=35352, 단지=0, 숟가락=10, 웍=1030893, 쟁반=0, 접시=0, 칼=16, 컵=157, 후라이팬=13
현재 43000행 실행 중 (src 19706): 그릇=13255, 냄비=14, 단지=38, 숟가락=57, 웍=40, 쟁반=0, 접시=0, 칼=0, 컵=16624, 후라이팬=2
현재 44000행 실행 중 (src 21224): 그릇=474, 냄비=26, 단지=0, 숟가락=0, 웍=0, 쟁반=5, 접시=0, 칼=0, 컵=355, 후라이팬=0
현재 45000행 실행 중 (src 22810): 그릇=280, 냄비=0, 단지=50, 숟가락=10, 웍=27, 쟁반=0, 접시=31879, 칼=0, 컵=0, 후라이팬=22
현재 46000행 실행 중 (src 33450): 그릇=8, 냄비=2, 단지=0, 숟가락=0, 웍=389, 쟁반=106620, 접시=11, 칼=0, 컵=17, 후라이팬=0
현재 47000행 실행 중 (src 35000): 그릇=0, 냄비=0, 단지=436, 숟가락=0, 웍=7517, 쟁반=16, 접시=3, 칼=0, 컵=0, 후라이팬=0
현재 48000행 실행 중 (src 36530): 그릇=40, 냄비=1, 단지=1451783, 숟가락=18540, 웍=140, 쟁반=8, 접시=0, 칼=0, 컵=0, 후라이팬=3
현재 49000행 실행 중 (src 33415): 그릇=0, 냄비=302, 단지=65, 숟가락=0, 웍=75, 쟁반=7930, 접시=11, 칼=0, 컵=0, 후라이팬=0
현재 50000행 실행 중 (src 34958): 그릇=8955, 냄비=0, 단지=0, 숟가락=10, 웍=12, 쟁반=192, 접시=39, 칼=1, 컵=0, 후라이팬=208
현재 51000행 실행 중 (src 36499): 그릇=0, 냄비=0, 단지=35334, 숟가락=1, 웍=7, 쟁반=600, 접시=0, 칼=3082, 컵=40, 후라이팬=52
현재 52000행 실행 중 (src 33381): 그릇=0, 냄비=147, 단지=36, 숟가락=25, 웍=735, 쟁반=7930, 접시=0, 칼=18, 컵=0, 후라이팬=0
현재 53000행 실행 중 (src 34921): 그릇=20, 냄비=0, 단지=22, 숟가락=21, 웍=12, 쟁반=48, 접시=0, 칼=0, 컵=1757, 후라이팬=0
현재 54000행 실행 중 (src 36450): 그릇=0, 냄비=0, 단지=35320, 숟가락=0, 웍=39, 쟁반=3, 접시=42, 칼=3082, 컵=17, 후라이팬=0
현재 55000행 실행 중 (src 33343): 그릇=2, 냄비=0, 단지=25, 숟가락=20, 웍=726, 쟁반=7906, 접시=15, 칼=6, 컵=0, 후라이팬=0
현재 56000행 실행 중 (src 34883): 그릇=681, 냄비=0, 단지=0, 숟가락=0, 웍=6, 쟁반=0, 접시=0, 칼=0, 컵=1062, 후라이팬=4
현재 57000행 실행 중 (src 36405): 그릇=26, 냄비=0, 단지=883, 숟가락=0, 웍=35, 쟁반=2, 접시=0, 칼=382, 컵=0, 후라이팬=0
현재 58000행 실행 중 (src 33303): 그릇=0, 냄비=48, 단지=0, 숟가락=20, 웍=579, 쟁반=7706, 접시=15, 칼=0, 컵=0, 후라이팬=130
현재 59000행 실행 중 (src 34837): 그릇=0, 냄비=0, 단지=0, 숟가락=0, 웍=15, 쟁반=631, 접시=176, 칼=0, 컵=0, 후라이팬=0
현재 60000행 실행 중 (src 36368): 그릇=7, 냄비=0, 단지=435, 숟가락=0, 웍=1176, 쟁반=448, 접시=0, 칼=777, 컵=84, 후라이팬=0
현재 61000행 실행 중 (src 33266): 그릇=152, 냄비=48, 단지=0, 숟가락=5, 웍=566, 쟁반=0, 접시=0, 칼=0, 컵=962, 후라이팬=0
현재 62000행 실행 중 (src 34802): 그릇=0, 냄비=2, 단지=7446, 숟가락=0, 웍=0, 쟁반=126, 접시=530, 칼=0, 컵=8, 후라이팬=0
현재 63000행 실행 중 (src 36334): 그릇=0, 냄비=84, 단지=0, 숟가락=0, 웍=706, 쟁반=109, 접시=0, 칼=3797, 컵=73, 후라이팬=0
현재 64000행 실행 중 (src 28632): 그릇=0, 냄비=50, 단지=6, 숟가락=29, 웍=0, 쟁반=198, 접시=1, 칼=50, 컵=0, 후라이팬=36
현재 65000행 실행 중 (src 30194): 그릇=2, 냄비=0, 단지=0, 숟가락=7910909, 웍=0, 쟁반=6278, 접시=3, 칼=0, 컵=24, 후라이팬=0
현재 66000행 실행 중 (src 31709): 그릇=0, 냄비=28, 단지=6, 숟가락=0, 웍=1041, 쟁반=165, 접시=0, 칼=33, 컵=637053, 후라이팬=0
현재 67000행 실행 중 (src 28604): 그릇=0, 냄비=27020, 단지=10, 숟가락=0, 웍=3, 쟁반=188, 접시=0, 칼=4, 컵=0, 후라이팬=12
